Time to generate a test,Time to run a test
0.419,34.429
0.5599999999999999,33.54
6.831,37.601
0.379,32.624
0.36000000000000004,30.713
0.674,32.272000000000006
2.467,34.681
0.8360000000000001,31.527
0.86,34.382999999999996
6.019,40.405
0.587,37.657999999999994
0.601,31.249
0.298,33.201
1.374,1920.8670000000002
1.427,39.915
4.136,42.632000000000005
0.8059999999999999,28.855999999999998
0.261,525.578
0.525,33.64
3.885,76.407
0.323,33.232
0.5720000000000001,30.882
0.261,35.319
0.449,31.665
0.864,29.354000000000003
0.517,35.867999999999995
0.254,30.785
0.821,73.59599999999999
1.521,57.858
0.876,35.239
0.6489999999999999,33.869
1.234,31.641000000000002
4.1339999999999995,34.94
0.384,27.858
0.264,30.212
0.696,1573.582
0.41300000000000003,32.945
0.574,33.782
0.4,33.83
25.645999999999997,55.989999999999995
5.169,36.747
1.393,35.007000000000005
1.2910000000000001,31.557000000000002
0.251,32.838
21.726,2031.2009999999998
0.519,586.129
9.616,71.63799999999999
2.1069999999999998,35.497
0.603,33.891
0.26699999999999996,35.283
4.428,49.463
27.219,59.564
0.389,31.683000000000003
2.6220000000000003,33.264
0.392,31.901
5.978,40.238
0.32,32.325
0.422,33.886
4.127,37.445
3.6229999999999998,36.321
1.4469999999999998,32.289
0.27999999999999997,30.881
8.024999999999999,39.463
5.345,69.25399999999999
0.902,34.38
0.29500000000000004,30.397000000000002
37.337,71.735
23.865000000000002,55.549
4.773000000000001,36.8
2.997,34.202999999999996
0.374,32.605000000000004
3.535,36.774
1.4829999999999999,60.574000000000005
0.8109999999999999,33.956
0.34900000000000003,31.955
0.399,29.763
0.261,32.649
1.218,32.574
2.1229999999999998,38.642999999999994
5.008,35.749
16.244999999999997,81.925
6.255,39.602
5.164000000000001,36.43
0.244,30.078
5.418,43.065
21.391000000000002,60.773
3.6180000000000003,34.653000000000006
6.56,39.856
25.32,57.864
0.398,37.675
0.229,32.043
0.5519999999999999,34.367000000000004
0.29300000000000004,37.121
0.391,32.703
3.246,35.285
3.093,34.757000000000005
0.40900000000000003,34.25
3.372,44.775000000000006
0.569,32.779999999999994
0.366,42.687999999999995
0.406,33.205999999999996
0.224,30.714000000000002
0.47,31.836999999999996
0.57,32.577000000000005
0.514,31.589
0.402,29.869
0.372,33.555
14.615,75.28
1.177,35.392
0.248,35.116
0.412,30.927
0.289,33.064
1.145,32.364999999999995
0.41800000000000004,37.760000000000005
0.32,39.613
0.49200000000000005,30.846
2.421,79.351
8.783,38.483000000000004
0.389,29.88
2.762,78.608
2.715,37.244
1.833,32.923
1.305,59.587
0.35,33.672
23.86,54.408
0.425,33.245999999999995
0.376,30.161
0.494,34.96
